"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Primacy Type","Owner Type","Primary Source","Activity Status","Deactivation Date","Season Begin Date","Season End Date","Is Wholesaler","Pop Cat 5","Pop Cat 11","Population Served Count","Is Outstanding Performer","Outstanding Performer Date","Is Source Water Protected","Source Water Protection Date","Service Connections Count","Seasonal Startup System","Org Name","Admin Name","Email Address","Phone Number","Phone Ext Number","Fax Number","Alt Phone Number","Address Line1","Address Line2","City Name","State Code","Zip Code","Country Code","First Reported Date","Last Reported Date"
"CA5301002","LEWISTON COMMUNITY SERVICES DISTRICT","Region 9","California","Community water system","State","Private","Surface water","Active","-","-","-","N","<=500","101-500","150","-","-","-","-","51","-","DEARDORFF, MEL","DEARDORFF, MEL","meldeardorff@gmail.com","530-778-0306","-","-","-","PO Box 164","-","LEWISTON","CA","96052","US","28-MAR-1986","29-MAR-2019"
"CA1510802","KERN VALLEY STATE PRISON","Region 9","California","Community water system","State","State government","Ground water","Active","-","-","-","N","3,301-10,000","3,301-10,000","5,300","-","-","-","-","2249","-","WISE, TIM","WISE, TIM","tim.wise@cdcr.ca.gov","661-721-6300","-","661-721-6379","-","3000 W. CECIL AVE.","-","DELANO","CA","93216","US","21-APR-2010","29-MAR-2019"
"CA5400660","LAKE SUCCESS MOBILE LODGE","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","40","-","-","-","-","19","-","PARHAM, SAM","PARHAM, SAM","sparham@ocsnet.net","559-782-1363","-","-","-","30464 HWY 190 SPACE #1A","-","PORTERVILLE","CA","93257","US","22-MAR-1979","29-MAR-2019"
"CA0610002","CITY OF COLUSA","Region 9","California","Community water system","State","Local government","Ground water","Active","-","-","-","N","3,301-10,000","3,301-10,000","6,235","-","-","-","-","2197","-","CAIN, JESSE","CAIN, JESSE","citymanager@cityofcolusa.com","530-458-4941","-","530-458-3322","-","425 Webster St.","-","COLUSA","CA","95932","US","22-MAR-1979","29-MAR-2019"
"CA4210013","SOLVANG WATER DIVISION","Region 9","California","Community water system","State","Local government","Surface water purchased","Active","-","-","-","N","3,301-10,000","3,301-10,000","5,506","-","-","-","-","2187","-","MATHEWS, MIKE","MATHEWS, MIKE","mikem@cityofsolvang.com","805-588-4424","-","-","-","1644 Oak Street","-","SOLVANG","CA","93463","US","22-MAR-1979","29-MAR-2019"
"CA1503684","ONE FORTY EIGHT EAST WATER SYSTEM","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","35","-","-","-","-","13","-","MARTIN, MICHAEL","MARTIN, MICHAEL","lam@iwvisp.com","760-377-5695","-","-","-","P.O. BOX 1390","-","INYOKERN","CA","93527","US","12-FEB-2018","29-MAR-2019"
"CA3901304","ENCLAVE AT THE DELTA","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","39","-","-","-","-","15","-","ZUBIATE, CHRIS","ZUBIATE, CHRIS","czubiate@everwellhealth.org","805-242-0135","-","-","-","4951 E EIGHT MILE ROAD","-","STOCKTON","CA","95212","US","21-DEC-1992","29-MAR-2019"
"CA1500566","SPRING MOUNTAIN MUTUAL WATER COMPANY","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","27","-","-","-","-","13","-","MCEWEN, LELAND","MCEWEN, LELAND","captpop70@hotmail.com","-","-","-","-","P.O. BOX 263","-","WOODY","CA","93287","US","30-NOV-1981","29-MAR-2019"
"CA2700738","SAN MIGUEL WS #01","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","100","-","-","-","-","34","-","HUELETT, SCOTT","HUELETT, SCOTT","scotthulett@msn.com","831-722-7076","-","-","-","17140 WILSON WAY","-","ROYAL OAKS","CA","95076","US","22-MAR-1979","29-MAR-2019"
"CA2701956","PIONEER PLACE MWS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","66","-","-","-","-","22","-","IMLAY, NICKI","IMLAY, NICKI","imlay4@msn.com","-","-","-","-","-","19291 PIONEER PLACE","AROMAS","CA","95004","US","15-AUG-2001","29-MAR-2019"
"CA2701789","HOLLY HILLS MWC","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","108","-","-","-","-","27","-","KINCHELOE, TOM","KINCHELOE, TOM","tkinch@pacbell.net","831-758-2820","-","-","-","19250 REAVIS WAY","-","PRUNEDALE","CA","93907","US","28-JUN-1980","29-MAR-2019"
"CA2700606","HIDDEN VIEWS MHP WS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","75","-","-","-","-","31","-","KIRK, BETTY","KIRK, BETTY","-","831-385-0224","-","-","-","60321 JOLON RD","-","KING CITY","CA","93930","US","22-MAR-1979","29-MAR-2019"
"CA2701279","COASTLANDS MWS (POST CREEK)","Region 9","California","Community water system","State","Private","Surface water","Active","-","-","-","N","<=500","101-500","129","-","-","-","-","43","-","KRONLAND, BUTCH","KRONLAND, BUTCH","bpkronlund@aol.com","831-667-0332","-","-","-","48280 HWY 1","-","BIG SUR","CA","93920","US","22-MAR-1979","29-MAR-2019"
"CA2700548","DOLAN RD MWC","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","120","-","-","-","-","40","-","KUBISCH, GARY","KUBISCH, GARY","-","530-275-1851","-","-","-","800 DOLAN ROAD","-","CASTROVILLE","CA","95012","US","22-MAR-1979","29-MAR-2019"
"CA2702520","ARROYO SECO ESTATES MWS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","70","-","-","-","-","31","-","KUCHTA, COREY","KUCHTA, COREY","ckuchta@rocketmail.com","831-594-6050","-","-","-","P.O. BOX 552","-","SOLEDAD","CA","93960","US","24-MAY-2003","29-MAR-2019"
"CA2701888","CACHAGUA MUTUAL WS (#4)","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","55","-","-","-","-","24","-","LARSEN, MALINTHA","LARSEN, MALINTHA","larsenm@earthlink.net","831-659-2767","-","-","-","21435 PARROTT RANCH RD","-","CARMEL VALLEY","CA","93924","US","28-MAR-1986","29-MAR-2019"
"CA5410050","ALPAUGH COMMUNITY SERVICES DISTRICT","Region 9","California","Community water system","State","Local government","Ground water","Active","-","-","-","N","501-3,300","1,001-3,300","1,026","-","-","-","-","392","-","HOWARTH, BRUCE","HOWARTH, BRUCE","bruce@alpaughid.com","559-949-8199","-","-","-","P. O. BOX 262","-","ALPAUGH","CA","93201","US","21-APR-2010","29-MAR-2019"
"CA4210011","SANTA MARIA WATER DEPARTMENT","Region 9","California","Community water system","State","Local government","Surface water purchased","Active","-","-","-","N",">100,000","100,001-250,000","106,280","-","-","-","-","23617","-","SPRINGER, SHAD","SPRINGER, SHAD","sspringer@cityofsantamaria.org","805-925-0951","-","-","-","2065 East Main Street","-","SANTA MARIA","CA","93454","US","22-MAR-1979","29-MAR-2019"
"CA3610851","CALIFORNIA INSTITUTION FOR WOMEN","Region 9","California","Community water system","State","State government","Ground water purchased","Active","-","-","-","N","501-3,300","1,001-3,300","2,000","-","-","-","-","1124","-","POFF, WAYNE","POFF, WAYNE","wayne.poff@cdcr.ca.gov","909-606-4944","-","909-606-4945","-","16756 Chino Corona Rd.","-","CORONA","CA","92880","US","06-JAN-1994","29-MAR-2019"
"CA4700546","CAL ORE MOBILE ESTATES","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","146","-","-","-","-","52","-","SMITHONIC, JOE","SMITHONIC, JOE","jsmithonic@dbreconsulting.com","925-207-2514","-","-","-","621 Quinan St. Suite A","-","PINOLE","CA","94564","US","27-JAN-1983","29-MAR-2019"
"CA4700542","ABRAMS LAKE MOBILE ESTATES","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","135","-","-","-","-","86","-","SMITHONIC, JOE","SMITHONIC, JOE","jsmithonic@dbreconsulting.com","925-207-2514","-","-","-","621 Quinan St. Suite A","-","PINOLE","CA","94564","US","22-MAR-1979","29-MAR-2019"
"CA4500063","CEDAR CREEK MOBILEHOME PARK","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","40","-","-","-","-","20","-","CHARTER, DAN","CHARTER, DAN","CHARTERRICE@HOTMAIL.COM","916-203-5454","-","-","-","221 CLAY STREET","-","COLUSA","CA","95932","US","22-MAR-1979","29-MAR-2019"
"CA1700596","BLUE LAKES VILLAGE","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","65","-","-","-","-","44","-","FROUG, JONATHAN","FROUG, JONATHAN","sonomatrust@gmail.com","707-326-1616","-","-","-","5690 Dempsey Place","-","SANTA ROSA","CA","95403","US","22-MAR-1979","29-MAR-2019"
"CA1410001","BISHOP, CITY OF","Region 9","California","Community water system","State","Local government","Ground water","Active","-","-","-","N","3,301-10,000","3,301-10,000","3,879","-","-","-","-","1157","-","GRAH, DAVID","GRAH, DAVID","Dgrah@cityofbishop.com","760-873-8458","-","760-873-4873","-","P.O. BOX 1236","-","BISHOP","CA","93515","US","22-MAR-1979","29-MAR-2019"
"CA4410013","SCOTTS VALLEY WATER DISTRICT","Region 9","California","Community water system","State","Local government","Ground water","Active","-","-","-","N","10,001-100,000","10,001-50,000","10,509","-","-","-","-","3735","-","HARMON, PIRET","HARMON, PIRET","pharmon@svwd.org","831-600-1902","-","831-438-6235","-","2 Civic Center Drive","-","SCOTTS VALLEY","CA","95066","US","22-MAR-1979","29-MAR-2019"
"CA2100519","ESTERO MUTUAL","Region 9","California","Community water system","State","Private","Surface water","Active","-","-","-","N","<=500","101-500","186","-","-","-","-","145","-","ENGLEBRECHT, MARSHA","ENGLEBRECHT, MARSHA","esteromutualwaterco@gmail.com","707-878-2400","-","-","-","P.O. BOX 41","-","DILLON BEACH","CA","94929","US","05-JAN-1981","29-MAR-2019"
"CA1000053","LANARE COMMUNITY SERVICES DIST","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","501-3,300","501-1,000","660","-","-","-","-","153","-","BALLING, LINDA","BALLING, LINDA","lballing@calh2o.com","559-935-2300","-","559-935-1347","-","P.O. Box 292","-","COALINGA","CA","93210","US","22-MAR-1979","29-MAR-2019"
"CA1710011","BUCKINGHAM PARK WATER DISTRICT","Region 9","California","Community water system","State","Local government","Surface water","Active","-","-","-","N","501-3,300","1,001-3,300","1,501","-","-","-","-","457","-","FOSKETT, NAKIA","FOSKETT, NAKIA","gm@buckinghamparkwater.us","707-279-8568","-","707-279-2947","-","2880 Eastlake Drive","-","KELSEYVILLE","CA","95451","US","22-MAR-1979","29-MAR-2019"
"CA2810001","HOWELL MOUNTAIN MUTUAL WATER COMPANY","Region 9","California","Community water system","State","Private","Surface water","Active","-","-","-","N","501-3,300","1,001-3,300","2,070","-","-","-","-","396","-","FERNANDEZ, KARL","FERNANDEZ, KARL","hmmwco1@napanet.net","707-965-2205","-","707-965-2655","-","P.O. Box 9","-","ANGWIN","CA","94508","US","22-MAR-1979","29-MAR-2019"
"CA2010005","YOSEMITE SPRING PARK UTIL CO","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","3,301-10,000","3,301-10,000","5,921","-","-","-","-","1897","-","HARRINGTON, KEN","HARRINGTON, KEN","harrington.k@yspuc.org","559-658-7451","-","559-683-6177","-","30250-B YOSEMITE SPRINGS PKWY","-","COARSEGOLD","CA","93614","US","22-MAR-1979","29-MAR-2019"
"CA1500478","VALLEY ESTATES POA, INC.","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","386","-","-","-","-","113","-","HIGGINS, MIKE","HIGGINS, MIKE","VALLEYESTATES@MCHSI.COM","-","-","-","-","P.O. BOX 328","-","WELDON","CA","93283","US","22-MAR-1979","29-MAR-2019"
"CA3710014","OCEANSIDE, CITY OF","Region 9","California","Community water system","State","Local government","Surface water purchased","Active","-","-","-","N",">100,000","100,001-250,000","176,461","-","-","-","-","43890","-","RIGBY, LORI","RIGBY, LORI","lrigby@oceansideca.org","760-435-5912","-","-","-","300 N Coast Hwy","-","OCEANSIDE","CA","92054","US","22-MAR-1979","29-MAR-2019"
"CA4900639","REDWOOD HEIGHTS MUTUAL WATER COMPANY","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","30","-","-","-","-","17","-","COOPER, JIM","COOPER, JIM","j_cooper09@comcast.net","707-632-5025","-","-","-","#3 Raintree Lane","-","CAZADERO","CA","95421","US","22-MAR-1979","29-MAR-2019"
"CA3500550","SAN JUSTO MUTUAL WATER COMPANY","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","160","-","-","-","-","60","-","SCHWEIGER, PAUL","SCHWEIGER, PAUL","paulschweiger@yahoo.com","831-245-8044","-","-","-","155 HILLTOP DRIVE","-","HOLLISTER","CA","95023","US","05-JAN-1981","29-MAR-2019"
"CA1503669","NORTH KRANENBURG WS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","33","-","-","-","-","10","-","DEGEARE, MARY","DEGEARE, MARY","marydegeare@sbcglobal.net","-","-","-","-","17425 AMY AVE","-","BAKERSFIELD","CA","93314","US","05-DEC-2012","29-MAR-2019"
"CA2701820","CORDA RD WS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","60","-","-","-","-","19","-","RASMUSSEN, POUL","RASMUSSEN, POUL","pprasmuss77@gmail.com","831-449-3321","-","-","-","28750 CORDA ROAD","-","GONZALES","CA","93926","US","05-JAN-1981","29-MAR-2019"
"CA2701742","CALIFORNIA ORCHARD WS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","290","-","-","-","-","50","-","RICE, BRAD","RICE, BRAD","brad@salinaslandco.com","831-385-3858","-","-","-","PO BOX 686","-","KING CITY","CA","93930","US","28-JUN-1980","29-MAR-2019"
"CA2701403","PINE ST WS #01","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","65","-","-","-","-","17","-","RIVIERA, THEODORE","RIVIERA, THEODORE","tedsrivera.tr@gmail.com","831-277-4833","-","-","-","976 LAS FLORES ST","-","SOLEDAD","CA","93960","US","22-MAR-1979","29-MAR-2019"
"CA2701036","APPLE AVE WS #03","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","60","-","-","-","-","20","-","ROCHA, PETE","ROCHA, PETE","rocha2@sbcglobal.net","831-674-3347","-","-","-","PO BOX 335","-","GREENFIELD","CA","93927","US","22-MAR-1979","29-MAR-2019"
"CA2701800","TULARCITOS MWC","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","85","-","-","-","-","51","-","RODDA, NATALIE","RODDA, NATALIE","rodda@razzolink.com","831-659-3405","-","-","-","PO BOX 1131","-","CARMEL VALLEY","CA","93924","US","05-JAN-1981","29-MAR-2019"
"CA2701498","HARBOR VIEW WA","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","75","-","-","-","-","25","-","RASHE, JEAN","RASHE, JEAN","J.Rashe@sbcglobal.net","831-763-2790","-","-","-","29 LONG VALLEY RD","-","CASTROVILLE","CA","95012","US","22-MAR-1979","29-MAR-2019"
"CA1210006","FORTUNA, CITY OF","Region 9","California","Community water system","State","Local government","Ground water","Active","-","-","-","N","10,001-100,000","10,001-50,000","11,649","-","-","-","-","4377","-","CULBERT, DOUG","CULBERT, DOUG","dculbert@ci.fortuna.ca.us","707-725-1476","-","-","-","P.O. Box 545","-","FORTUNA","CA","95540","US","22-MAR-1979","29-MAR-2019"
"CA2700534","COLONIAL OAK WC INC","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","198","-","-","-","-","66","-","IRINO, DINAH","IRINO, DINAH","flora.vista@sbcglobal.net","831-663-3652","-","-","-","-","19017 KAREN DRIVE","SALINAS","CA","93907","US","22-MAR-1979","29-MAR-2019"
"CA2702268","NEW CAMALDOLI HERMITAGE WS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","54","-","-","-","-","54","-","HARRINGTON, MICHAEL","HARRINGTON, MICHAEL","mike@contemplation.com","831-667-2456","-","-","-","62475 HWY 1","-","BIG SUR","CA","93920","US","24-JUN-1999","29-MAR-2019"
"CA2702299","POST RANCH INN WS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","150","-","-","-","-","58","-","PRIANO, DAN","PRIANO, DAN","dan@postranchinn.com","831-667-2200","-","-","-","PO BOX 219","-","BIG SUR","CA","93920","US","15-AUG-2001","29-MAR-2019"
"CA2701935","MOUNT TORO RANCHOS MWA","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","45","-","-","-","-","15","-","PYBAS, GARY","PYBAS, GARY","Itwks@aol.com","831-484-0218","-","-","-","26425 LUCIE LN","-","SALINAS","CA","93908","US","27-JAN-1983","29-MAR-2019"
"CA2700509","OAK MANOR WS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","71","-","-","-","-","33","-","PARKER, SUE","PARKER, SUE","ptdancer@sbcglobal.net","831-663-3163","-","-","-","19015 BEATRICE DR.","-","SALINAS","CA","93907","US","22-MAR-1979","29-MAR-2019"
"CA2702466","SAN VICENTE MWC","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","90","-","-","-","-","30","-","PETERS, DONALD","PETERS, DONALD","svmwco@razzolink.com","831-678-8900","-","-","-","-","40100 BLUE JAY LANE","SOLEDAD","CA","93960","US","24-JUN-1999","29-MAR-2019"
"CA3500581","RANCHO SAN JOAQUIN MWC","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","96","-","-","-","-","30","-","MULCAHY, PATRICK","MULCAHY, PATRICK","pmulcahy4@gmail.com","831-638-0391","-","-","-","PO Box 1654","-","HOLLISTER","CA","95024","US","06-JAN-1994","29-MAR-2019"
"CA1910079","LYNWOOD-CITY, WATER DEPT.","Region 9","California","Community water system","State","Local government","Surface water purchased","Active","-","-","-","N","10,001-100,000","50,001-100,000","68,329","-","-","-","-","9089","-","HEMPE, LORRY","HEMPE, LORRY","LHEMPE@LYNWOOD.CA.US","310-603-0220","500","310-632-9511","-","11330 Bullis Road","-","LYNWOOD","CA","90262","US","22-MAR-1979","29-MAR-2019"
"CA2701918","LOMAS DEL SOL MWS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","93","-","-","-","-","31","-","GARDNER, MIKE","GARDNER, MIKE","mgd675@gmail.com","408-892-1013","-","-","-","675 VIA MANZANA","-","AROMAS","CA","95004","US","27-JAN-1983","29-MAR-2019"
"CA3710002","VALLECITOS WD","Region 9","California","Community water system","State","Local government","Surface water purchased","Active","-","-","-","N",">100,000","100,001-250,000","103,233","-","-","-","-","21576","-","PRUIM, GLENN","PRUIM, GLENN","gpruim@vwd.org","760-744-0460","231","-","-","201 VALLECITOS DE ORO","-","SAN MARCOS","CA","92069","US","22-MAR-1979","29-MAR-2019"
"CA4300979","QUAIL CREEK ESTATES MUTUAL WATER COMPANY","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","55","-","-","-","-","39","-","DRAPER, DAVID","DRAPER, DAVID","ddraper@terra-law.com","-","-","-","-","4785 Meritage Court","-","GILROY","CA","95020","US","15-AUG-2001","29-MAR-2019"
"CA0707601","RUSSOS MOBILE PARK","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","110","-","-","-","-","20","-","RUSSO, CHARLES","RUSSO, CHARLES","-","-","-","-","-","PO BOX 487","-","BETHEL ISLAND","CA","94511","US","22-MAR-1979","29-MAR-2019"
"CA5000082","4N MOBILEHOME PARK","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","65","-","-","-","-","31","-","RYBURN, WALLACE","RYBURN, WALLACE","-","925-766-8109","-","-","-","PO BOX 850","-","DANVILLE","CA","96452","US","22-MAR-1979","29-MAR-2019"
"CA1910012","BELLFLOWER HOME GARDEN WATER COMPANY","Region 9","California","Community water system","State","Private","Surface water purchased","Active","-","-","-","N","501-3,300","1,001-3,300","1,129","-","-","-","-","342","-","MUCHOW, LEE","MUCHOW, LEE","LEECARROL@AOL.COM","562-531-8586","-","562-408-0480","-","17447 LAKEWOOD BOULEVARD","-","BELLFLOWER","CA","90706","US","22-MAR-1979","29-MAR-2019"
"CA4500092","RIVER BREEZE MOBILE HOME PARK","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","105","-","-","-","-","32","-","DOWNS, SANDRA","DOWNS, SANDRA","downspropertymgmt@gmail.com","530-245-0126","-","-","-","625 ST MARKS STREET","-","REDDING","CA","96003","US","22-MAR-1979","29-MAR-2019"
"CA3200138","JD TRAILER RANCH","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","53","-","-","-","-","54","-","FOURIE, ANDRE","FOURIE, ANDRE","jdmobileestatesllc@gmail.com","530-906-1012","-","-","-","JD TRAILER RANCH","P.O. Box 23","VINTON","CA","96135","US","22-MAR-1979","29-MAR-2019"
"CA3910024","SAN JOAQUIN COUNTY - WILKINSON MANOR","Region 9","California","Community water system","State","Local government","Ground water","Active","-","-","-","N","501-3,300","501-1,000","871","-","-","-","-","256","-","GUZMAN, BEN","GUZMAN, BEN","bguzman@sjgov.org","209-468-3091","-","-","-","P.O. Box 1810","-","STOCKTON","CA","95201","US","06-JAN-1994","29-MAR-2019"
"CA3910017","SAN JOAQUIN COUNTY-MOKELUMNE ACRES","Region 9","California","Community water system","State","Local government","Ground water","Active","-","-","-","N","3,301-10,000","3,301-10,000","3,762","-","-","-","-","1144","-","GUZMAN, BEN","GUZMAN, BEN","bguzman@sjgov.org","209-468-3091","-","-","-","P.O. Box 1810","-","STOCKTON","CA","95201","US","25-JAN-1983","29-MAR-2019"
"CA3910014","SAN JOAQUIN COUNTY-RAYMUS VILLAGE","Region 9","California","Community water system","State","Local government","Ground water","Active","-","-","-","N","501-3,300","1,001-3,300","1,086","-","-","-","-","329","-","GUZMAN, BEN","GUZMAN, BEN","bguzman@sjgov.org","209-468-3091","-","-","-","P.O. Box 1810","-","STOCKTON","CA","95201","US","25-JAN-1983","29-MAR-2019"
"CA3910010","SAN JOAQUIN COUNTY - LINCOLN VILLAGE","Region 9","California","Community water system","State","Local government","Surface water purchased","Active","-","-","-","N","3,301-10,000","3,301-10,000","5,865","-","-","-","-","1795","-","GUZMAN, BEN","GUZMAN, BEN","bguzman@sjgov.org","209-468-3091","-","-","-","P.O. Box 1810","-","STOCKTON","CA","95201","US","22-MAR-1979","29-MAR-2019"
"CA1910040","EL SEGUNDO-CITY, WATER DEPT.","Region 9","California","Community water system","State","Local government","Surface water purchased","Active","-","-","-","N","10,001-100,000","10,001-50,000","16,654","-","-","-","-","4523","-","ESPARZA, ANTHONY","ESPARZA, ANTHONY","aesparza@elsegundo.org","310-524-2746","-","-","-","400 LOMITA ST","-","EL SEGUNDO","CA","90245","US","22-MAR-1979","29-MAR-2019"
"CA3910009","SAN JOAQUIN COUNTY - THORNTON","Region 9","California","Community water system","State","Local government","Ground water","Active","-","-","-","N","501-3,300","501-1,000","957","-","-","-","-","292","-","GUZMAN, BEN","GUZMAN, BEN","bguzman@sjgov.org","209-468-3091","-","-","-","P.O. Box 1810","-","STOCKTON","CA","95201","US","05-JAN-1981","29-MAR-2019"
